deal_id,announced_date,deal_type,status,target_or_issuer,acquirer_or_investor,sector,geography,transaction_value,enterprise_value,currency,stake_percent,payment_form,advisors,revenue_ltm,ebitda_ltm,financials_as_of,financials_currency,ev_revenue,ev_ebitda,instrument,rationale,quality_status,quality_score,quality_flags,source_count,sources,score,evidence_label,matched_coverage,source_name,source_url,headline,first_seen_at,last_seen_at,notes
DL-moex-101536,2026-06-29,DCM,Confirmed,Итоги выпуска биржевых облигаций,Not applicable,Financials,Russia,,,NOT DISCLOSED,78.6,Not applicable,Not disclosed,,,Not disclosed,Not disclosed,,,Bonds,Not disclosed,approved,100,,1,"[{""name"":""MOEX disclosure"",""url"":""https://www.moex.com/n101536"",""evidence_label"":""confirmed"",""source_type"":""official_exchange"",""published_at"":""2026-06-29 12:19:22""}]",7,confirmed,,MOEX disclosure,https://www.moex.com/n101536,Итоги выпуска биржевых облигаций,2026-06-29T10:10:04+00:00,2026-06-29T13:14:59+00:00,Screening record; verify against primary transaction documents.
DL-884a90d63a74113a,2026-06-29,DCM,Reported,Выпуск облигаций SpaceX на $25 млрд вызвал опасения инвесторов,Not applicable,Not classified,Not disclosed,25000000000.0,,USD,,Not applicable,Not disclosed,,,Not disclosed,Not disclosed,,,Bonds,Not disclosed,review,67,"unverified_source, aggregator_link",1,"[{""name"":""Финансы Mail"",""url"":""https://news.google.com/rss/articles/CBMiqwFBVV95cUxPWUR4bzZnZ2lmZG50NjRhZ0xlODRSRVNicW9xVkszWHFPQ2dqSUNzWHVzbG9qVkU3bmRBUWp4QlF1X3lBY0dycVBodG94YVhyalVscktnY0VOeVpBN1pzVXFJa1Faa3JxVzhCNkVaRk9ibThTTFpEeDRyUlgxdDlRc25WX21lZ0lCQkU0eG5xakFwTW5hSmE1YmpzS0xqdW8yUm5YcnVUREJuRW8?oc=5"",""evidence_label"":""unverified"",""source_type"":""archive_discovery"",""published_at"":""Mon, 29 Jun 2026 11:23:06 GMT""}]",3,unverified,,Финансы Mail,https://finance.mail.ru/article/vyipusk-obligatsij-spacex-na-25-mlrd-vyizval-opaseniya-investorov-69215522/,Выпуск облигаций SpaceX на $25 млрд вызвал опасения инвесторов - Финансы Mail,2026-06-29T13:14:59+00:00,2026-06-29T13:14:59+00:00,Screening record; verify against primary transaction documents.
DL-4d8f7bcb385b1c88,2026-06-28,DCM,Closed,MTSS,Not applicable,Not classified,Russia,20000000000.0,,RUB,,Not applicable,Not disclosed,,,Not disclosed,Not disclosed,,,Bonds,Not disclosed,approved,100,,1,"[{""name"":""MTS Investor Relations"",""url"":""https://ir.mts.ru/news_and_events/corporate_releases/details/742414"",""evidence_label"":""confirmed"",""source_type"":""public_web"",""published_at"":""2026-06-28""}]",6,confirmed,,MTS Investor Relations,https://ir.mts.ru/news_and_events/corporate_releases/details/742414,МТС успешно закрыла книгу биржевых облигаций 003Р-03 на 20 млрд руб.,2026-06-28T05:10:25+00:00,2026-06-28T05:10:25+00:00,Screening record; verify against primary transaction documents.
DL-bfcdac2063ce29e4,2026-06-28,DCM,Reported,YDEX,Not applicable,Not classified,Not disclosed,,,NOT DISCLOSED,,Not applicable,Not disclosed,,,Not disclosed,Not disclosed,,,Bonds,Not disclosed,review,75,unverified_source,1,"[{""name"":""Финансы Mail"",""url"":""https://finance.mail.ru/article/molodyie-investoryi-uvelichili-vlozheniya-v-obligatsii-v-dva-raza-69215293/"",""evidence_label"":""unverified"",""source_type"":""public_web"",""published_at"":""2026-06-28""}]",3,unverified,,Финансы Mail,https://finance.mail.ru/article/molodyie-investoryi-uvelichili-vlozheniya-v-obligatsii-v-dva-raza-69215293/,Молодые инвесторы увеличили вложения в облигации в два раза - Финансы Mail,2026-06-28T15:09:41+00:00,2026-06-29T11:04:31+00:00,Screening record; verify against primary transaction documents.
DL-3c400018ff8f7b5b,2026-06-27,M&A,Reported,Not disclosed,Not disclosed,Not classified,Not disclosed,,,Not disclosed,,Shares,Not disclosed,,,Not disclosed,Not disclosed,,,Acquisition / disposal,Not disclosed,rejected,0,"unverified_source, missing_both_parties, price_target_context",1,"[{""name"":""foreignpolicyjournal.com"",""url"":""https://www.foreignpolicyjournal.com/2026/06/26/nebius-group-nasdaq-nbis-completes-eigen-ai-acquisition-analyst-lifts-stock-price-target-to-280/"",""evidence_label"":""unverified"",""source_type"":""public_web"",""published_at"":""2026-06-27""}]",3,unverified,,foreignpolicyjournal.com,https://www.foreignpolicyjournal.com/2026/06/26/nebius-group-nasdaq-nbis-completes-eigen-ai-acquisition-analyst-lifts-stock-price-target-to-280/,"Nebius Group ( NASDAQ : NBIS ) Completes Eigen AI Acquisition , Analyst Lifts Stock Price Target To $280",2026-06-28T15:49:10+00:00,2026-06-28T15:49:10+00:00,Screening record; verify against primary transaction documents.
DL-moex-101473,2026-06-26,DCM,Confirmed,Not disclosed,Not applicable,Not classified,Russia,,,NOT DISCLOSED,,Not applicable,Not disclosed,,,Not disclosed,Not disclosed,,,Bonds,Not disclosed,approved,75,missing_issuer,1,"[{""name"":""MOEX disclosure"",""url"":""https://www.moex.com/n101473"",""evidence_label"":""confirmed"",""source_type"":""public_web"",""published_at"":""2026-06-26""}]",7,confirmed,,MOEX disclosure,https://www.moex.com/n101473,О регистрации проспекта биржевых облигаций,2026-06-28T00:41:49+00:00,2026-06-28T15:49:10+00:00,Screening record; verify against primary transaction documents.
DL-moex-101492,2026-06-26,DCM,Confirmed,Not disclosed,Not applicable,Not classified,Russia,,,NOT DISCLOSED,,Not applicable,Not disclosed,,,Not disclosed,Not disclosed,,,Bonds,Not disclosed,approved,75,missing_issuer,1,"[{""name"":""MOEX disclosure"",""url"":""https://www.moex.com/n101492"",""evidence_label"":""confirmed"",""source_type"":""official_exchange"",""published_at"":""2026-06-26 17:45:56""}]",6,confirmed,,MOEX disclosure,https://www.moex.com/n101492,"О регистрации выпуска биржевых облигаций, о включении его в Список ценных бумаг, допущенных к торгам, и о присвоении указанным биржевым облигациям регистрационного номера",2026-06-28T00:41:49+00:00,2026-06-29T13:14:59+00:00,Screening record; verify against primary transaction documents.
DL-moex-101468,2026-06-26,DCM,Confirmed,Not disclosed,Not applicable,Not classified,Russia,,,NOT DISCLOSED,,Not applicable,Not disclosed,,,Not disclosed,Not disclosed,,,Bonds,Not disclosed,rejected,15,"non_transaction_or_technical_notice, missing_issuer",1,"[{""name"":""MOEX disclosure"",""url"":""https://www.moex.com/n101468"",""evidence_label"":""confirmed"",""source_type"":""public_web"",""published_at"":""2026-06-26""}]",6,confirmed,,MOEX disclosure,https://www.moex.com/n101468,О регистрации изменений в эмиссионные документы,2026-06-28T00:41:49+00:00,2026-06-29T10:10:04+00:00,Screening record; verify against primary transaction documents.
DL-moex-101457,2026-06-26,DCM,Confirmed,Not disclosed,Not applicable,Financials,Not disclosed,,,NOT DISCLOSED,,Not applicable,Not disclosed,,,Not disclosed,Not disclosed,,,Bonds,Not disclosed,approved,75,missing_issuer,1,"[{""name"":""MOEX disclosure"",""url"":""https://www.moex.com/n101457"",""evidence_label"":""confirmed"",""source_type"":""public_web"",""published_at"":""2026-06-26""}]",6,confirmed,,MOEX disclosure,https://www.moex.com/n101457,О порядке сбора заявок и заключения сделок при размещении облигаций серии Б-1-403 Банк ВТБ (публичное акционерное общество) с 29 июня 2026 года,2026-06-28T00:41:49+00:00,2026-06-28T15:49:10+00:00,Screening record; verify against primary transaction documents.
DL-moex-101454,2026-06-26,DCM,Confirmed,Not disclosed,Not applicable,Financials,Russia,,,NOT DISCLOSED,100.0,Not applicable,Not disclosed,,,Not disclosed,Not disclosed,,,Bonds,Not disclosed,approved,75,missing_issuer,1,"[{""name"":""MOEX disclosure"",""url"":""https://www.moex.com/n101454"",""evidence_label"":""confirmed"",""source_type"":""public_web"",""published_at"":""2026-06-26""}]",6,confirmed,,MOEX disclosure,https://www.moex.com/n101454,"О порядке приобретения облигаций серии 001P-04 ООО ""АРЕНЗА-ПРО"" с 29 июня 2026 год",2026-06-28T00:41:49+00:00,2026-06-28T15:49:10+00:00,Screening record; verify against primary transaction documents.
DL-moex-101451,2026-06-26,DCM,Confirmed,Not disclosed,Not applicable,Not classified,Not disclosed,,,NOT DISCLOSED,,Not applicable,Not disclosed,,,Not disclosed,Not disclosed,,,Bonds,Not disclosed,rejected,15,"non_transaction_or_technical_notice, missing_issuer",1,"[{""name"":""MOEX disclosure"",""url"":""https://www.moex.com/n101451"",""evidence_label"":""confirmed"",""source_type"":""public_web"",""published_at"":""2026-06-26""}]",6,confirmed,,MOEX disclosure,https://www.moex.com/n101451,О проведении выкупа облигаций с 29 июня по 03 июля 2026 года,2026-06-28T00:41:49+00:00,2026-06-28T15:49:10+00:00,Screening record; verify against primary transaction documents.
DL-moex-101450,2026-06-26,DCM,Confirmed,Not disclosed,Not applicable,Not classified,Russia,,,NOT DISCLOSED,,Not applicable,Not disclosed,,,Not disclosed,Not disclosed,,,Bonds,Not disclosed,rejected,15,"non_transaction_or_technical_notice, missing_issuer",1,"[{""name"":""MOEX disclosure"",""url"":""https://www.moex.com/n101450"",""evidence_label"":""confirmed"",""source_type"":""public_web"",""published_at"":""2026-06-26""}]",6,confirmed,,MOEX disclosure,https://www.moex.com/n101450,"Дополнительные условия проведения торгов по выкупу облигаций серии 003Р-02 ООО ""Концерн ""РОССИУМ"" 26 июня 2026 года",2026-06-28T00:41:49+00:00,2026-06-28T15:49:10+00:00,Screening record; verify against primary transaction documents.
DL-bec65812ff9fcfae,2026-06-24,DCM,Announced,Selectel,Not applicable,Not classified,Russia,5000000000.0,,RUB,,,,,,,,,,Bonds,рефинансирования и инвестиций,review,75,unverified_source,1,"[{""name"":""ComNews.ru"",""url"":""https://www.comnews.ru/content/246003/2026-06-25/2026-w26/1008/selectel-razmestit-obligacii-5-mlrd-rub-dlya-refinansirovaniya-i-investiciy"",""evidence_label"":""unverified"",""source_type"":""public_web"",""published_at"":""2026-06-24""}]",4,unverified,,ComNews.ru,https://www.comnews.ru/content/246003/2026-06-25/2026-w26/1008/selectel-razmestit-obligacii-5-mlrd-rub-dlya-refinansirovaniya-i-investiciy,Selectel разместит облигации на 5 млрд руб. для рефинансирования и инвестиций - ComNews.ru,2026-06-27T19:39:21+00:00,2026-06-27T19:56:53+00:00,Screening record; verify against primary transaction documents.
DL-7a721642a53e0f1d,2026-06-19,DCM,Issued,Yandex,Not applicable,Technology,Russia,60000000000.0,,RUB,,Not applicable,Not disclosed,,,Not disclosed,Not disclosed,,,Bonds,"частных инвесторов Яндекса содержит информацию про бизнесы и технологии компании, а также географию присутствия, финансовые результаты, важные новости и многое другое о компании и её рынках",approved,100,,1,"[{""name"":""Yandex Investor Relations"",""url"":""https://ir.yandex.ru/press-releases?year=2026&id=19-06-2026-03"",""evidence_label"":""confirmed"",""source_type"":""public_web"",""published_at"":""2026-06-19""}]",7,confirmed,YDEX,Yandex Investor Relations,https://ir.yandex.ru/press-releases?year=2026&id=19-06-2026-03,Яндекс разместил два выпуска биржевых облигаций на общую сумму 60 млрд рублей,2026-06-28T05:10:25+00:00,2026-06-29T13:15:00+00:00,Screening record; verify against primary transaction documents.
DL-9092ffd6a36a0a81,2026-06-10,DCM,Reported,Норникель,Not applicable,Not classified,Not disclosed,3000000000.0,,RUB,,Not applicable,Not disclosed,,,Not disclosed,Not disclosed,,,Bonds,Not disclosed,review,67,"unverified_source, aggregator_link",1,"[{""name"":""Интерфакс"",""url"":""https://news.google.com/rss/articles/CBMiUkFVX3lxTE1YcWRJT1pJS3JQYUlDcVBxQmRrd2JFXzdidEJQMkRoTFVIRlBDUnQ5ZjNSMFZGamhRQ1hoTXFwaUVQMW1PZldFWWhvSzdOdmtSQnfSAUtBVV95cUxQWkQ5UHd5NFJieHBKUTVCZURpX1dEWmM4a2FnOXJ3aUREYi04ZGFUclFMNUxBdU1EMFVYWUU4MlhCaXJfTy1NZlVNXzg?oc=5"",""evidence_label"":""unverified"",""source_type"":""public_web"",""published_at"":""2026-06-10""}]",3,unverified,,Интерфакс,https://news.google.com/rss/articles/CBMiUkFVX3lxTE1YcWRJT1pJS3JQYUlDcVBxQmRrd2JFXzdidEJQMkRoTFVIRlBDUnQ5ZjNSMFZGamhRQ1hoTXFwaUVQMW1PZldFWWhvSzdOdmtSQnfSAUtBVV95cUxQWkQ5UHd5NFJieHBKUTVCZURpX1dEWmM4a2FnOXJ3aUREYi04ZGFUclFMNUxBdU1EMFVYWUU4MlhCaXJfTy1NZlVNXzg?oc=5,"""Норникель"" зафиксировал объем размещения облигаций на уровне 3 млрд юаней - Интерфакс",2026-06-28T04:28:06+00:00,2026-06-29T13:14:59+00:00,Screening record; verify against primary transaction documents.
